PING 10.0.0.3 (10.0.0.3) 56(84) Bytes an Daten.
64 Bytes von 10.0.0.3: icmp_seq=1 ttl=64 Zeit=270 ms
64 Bytes von 10.0.0.3: icmp_seq=2 ttl=64 Zeit=132 ms
64 Bytes von 10.0.0.3: icmp_seq=3 ttl=64 Zeit=130 ms
64 Bytes von 10.0.0.3: icmp_seq=4 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=5 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=6 ttl=64 Zeit=130 ms
64 Bytes von 10.0.0.3: icmp_seq=7 ttl=64 Zeit=130 ms
64 Bytes von 10.0.0.3: icmp_seq=8 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=9 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=10 ttl=64 Zeit=130 ms
64 Bytes von 10.0.0.3: icmp_seq=11 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=12 ttl=64 Zeit=130 ms
64 Bytes von 10.0.0.3: icmp_seq=13 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=14 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=15 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=16 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=17 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=18 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=19 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=20 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=21 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=22 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=23 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=24 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=25 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=26 ttl=64 Zeit=131 ms
64 Bytes von 10.0.0.3: icmp_seq=27 ttl=64 Zeit=130 ms
